# SPEAR Hypersonic Rocket - Full Telemetry Log
# Data format: timestamp,altitude_km,temp_c,voltage,pitch,yaw,roll

1750000400,0.05,25.5,4.20,88.0,0.0,0
1750000402,0.78,24.9,4.19,88.0,0.3,10
1750000404,1.62,21.3,4.19,88.0,0.6,20
1750000407,3.03,15.1,4.18,88.0,0.9,30
1750000410,4.60,6.7,4.18,88.0,1.2,40
1750000413,6.33,5.1,4.17,88.0,1.5,50
1750000416,8.22,-5.4,4.17,88.0,1.8,60
1750000419,10.28,-15.8,4.16,88.0,2.1,70
1750000422,12.50,-30.2,4.16,88.0,2.4,80
# Entering Stratosphere
1750000425,14.88,-48.5,4.15,86.0,2.5,90
1750000428,17.42,-55.1,4.15,86.0,2.7,100
1750000431,20.12,-56.0,4.14,85.0,2.9,110
1750000433,MALFORMED_DATA
1750000434,22.98,-55.2,4.13,84.0,3.0,130
1750000437,26.01,-45.7,4.13,84.0,3.1,140
1750000440,29.20,-43.1,4.12,83.0,3.2,150
1750000444,33.70,-40.5,4.12,83.0,3.3,160
1750000448,38.50,-35.9,4.11,82.0,3.4,170
1750000452,43.58,-30.1,4.11,82.0,3.5,180
1750000456,48.94,-25.6,4.10,81.0,3.55,190
1750000460,54.556,-20.3,4.10,80.0,3.6,200
1750000464,56.887,-15.8,4.09,79.0,3.65,210
1750000468,59.189,-10.2,4.09,78.0,3.7,220
1750000472,61.462,-5.5,4.08,78.0,3.75,230
1750000476,63.706,-2.1,4.08,77.0,3.8,240
1750000480,65.921,-0.5,4.07,76.0,3.85,250
1750000484,68.100,-0.1,4.07,76.0,3.9,260
1750000488,70.260,-0.2,4.06,75.0,3.95,270
1750000492,DATA_CORRUPT,-0.8,4.06,75.0,4.0,280
# Entering Mesosphere
1750000496,74.500,-2.5,4.05,74.0,4.1,290
1750000500,76.570,-5.3,4.05,73.0,4.2,300
1750000505,79.108,-10.9,4.04,72.0,4.3,310
1750000510,81.611,-18.4,4.04,71.0,4.4,320
1750000515,84.066,-25.7,4.03,70.0,4.5,330
1750000520,86.478,-33.1,4.03,69.0,4.6,340
1750000525,88.846,-40.8,4.02,68.0,4.7,350
1750000530,91.166,-50.2,4.02,67.0,4.8,0
1750000535,93.444,-60.5,4.01,66.0,4.9,10
1750000540,95.672,-70.3,4.01,65.0,5.0,20
1750000545,97.860,-80.9,4.00,64.0,5.1,30
1750000550,100.000,-85.1,4.00,63.0,5.2,40
1750000555,102.085,-86.7,3.99,62.0,5.0,50
1750000560,104.142,-88.3,3.99,61.0,4.8,60
1750000565,106.144,-90.0,3.98,60.0,4.6,70
# Entering Thermosphere
1750000570,108.100,-85.4,3.98,58.0,4.4,80
1750000575,110.015,-70.1,3.97,56.0,4.2,90
1750000580,111.871,-50.7,3.97,54.0,4.0,100
1750000585,113.710,-25.3,3.96,52.0,3.8,110
1750000590,115.489,5.9,3.96,50.0,3.6,120
1750000595,117.223,40.2,3.95,48.0,3.4,130
1750000600,118.913,75.8,3.95,46.0,3.2,140
1750000605,120.534,110.3,3.94,44.0,3.0,150
1750000610,122.150,120.5,3.94,42.0,2.8,160
1750000615,123.688,NO_READING,3.93,40.0,2.6,170
1750000620,125.234,140.9,3.93,38.0,2.4,180
1750000625,126.663,165.4,3.92,36.0,2.2,190
1750000630,128.083,180.1,3.92,34.0,2.0,200
1750000636,129.738,195.6,3.91,32.0,1.8,210
1750000642,131.317,210.3,3.91,30.0,1.6,220
1750000648,132.811,225.8,3.90,28.0,1.4,230
1750000654,134.271,240.2,3.90,26.0,1.2,240
# Apogee approaching
1750000660,135.674,255.7,3.89,24.0,1.0,250
1750000666,136.980,270.4,3.89,22.0,0.8,260
1750000676,138.978,285.9,3.88,20.0,0.6,270
1750000688,141.244,290.1,3.88,18.0,0.4,280
1750000700,142.408,295.6,3.87,16.0,0.2,290
1750000712,144.850,300.3,3.87,14.0,0.1,300
1750000724,146.273,305.8,3.86,12.0,0.0,310
1750000736,147.416,310.2,3.86,10.0,-0.1,320
1750000748,148.329,315.7,3.85,6.0,-0.2,330
1750000760,149.031,320.4,3.85,0.0,-0.3,340
1750000772,149.488,318.9,3.84,-2.0,-0.4,350
1750000784,149.556,316.1,3.84,-4.0,-0.5,0
1750000788,149.551,312.6,3.83,-6.0,-0.6,10
1750000792,149.535,308.3,3.83,-8.0,-0.7,20
1750000797,149.502,301.8,3.82,-10.0,-0.8,30
1750000803,149.441,295.4,3.82,-12.0,-0.9,40
1750000810,149.340,295.4,3.82,-12.0,-0.9,40
1750000818,149.186,288.7,3.81,-14.0,-1.0,50
1750000819,INVALID,288.7,3.80,-14.0,-1.0,50
1750000827,148.965,280.4,3.80,-16.0,-1.1,60
1750000837,148.657,275.9,3.80,-18.0,-1.2,70
1750000848,148.246,270.1,3.80,-20.0,-1.3,80
# Re-entry sequence started
1750000860,147.708,350.6,3.79,-22.0,-1.5,90
1750000873,147.024,460.3,3.79,-24.0,-1.7,100
1750000887,146.161,595.8,3.78,-26.0,-1.9,110
1750000902,145.099,730.2,3.78,-28.0,-2.1,120
1750000918,143.814,865.7,3.77,-30.0,-2.3,130
1750000935,142.266,980.4,3.77,-32.0,-2.5,140
1750000953,140.420,1035.9,3.76,-34.0,-2.7,150
1750000972,138.252,1170.1,3.76,-36.0,-2.9,160
1750000992,135.724,1205.6,3.75,-38.0,-3.1,170
1750001013,132.784,1240.3,3.75,-40.0,-3.3,180
1750001035,129.408,1275.8,3.74,-42.0,-3.5,190
1750001058,125.558,1310.2,3.74,-44.0,-3.7,200
1750001082,121.174,1345.7,3.73,-46.0,-3.9
1750001107,116.200,1345.7,3.71,-46.0,-3.9
 # End of transmission
