# SPEAR Hypersonic Rocket - Full Telemetry Log
# Data format: timestamp,altitude_km,temp_c,voltage,pitch,yaw,roll

1750000660,135.674,255.7,3.89,24.0,1.0,250
1750000666,136.980,ERROR,3.89,22.0,0.8,260
1750000700,142.408,295.6,3.87,16.0,0.2,290
1750000712,144.850,300.3,3.87,14.0,0.1,300
1750000748,148.329,315.7,UNDERVOLTAGE,6.0,-0.2,330
1750000760,149.031,320.4,3.85,0.0,-0.3,340
1750000772,149.488,318.9,3.84,-2.0,-0.4,350
1750000784,149.556,316.1,3.84,-4.0,-0.5,0
1750000788,149.551,312.6,3.83,-6.0,-0.6,10
1750000803,149.441,295.4,3.82,-12.0,-0.9,40
1750000818,149.186,288.7,3.81,-14.0,-1.0,50
1750000819,INVALID,288.7,3.80,-14.0,-1.0,50
